"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Xkr4",60.3313915234192,-0.349458501477574,0.211188450076545,-1.65472354833284,0.0979805880965998,0.9998847402937
"Gm19938",137.065453641365,-0.125349348370832,0.429650411635877,-0.291747301936869,0.770479839998612,0.9998847402937
"Gm10568",0.0429676374084893,-0.274728938459143,3.02618800586252,-0.0907838303261136,0.927664358520388,NA
"Rp1",0.242503930003218,0.872093185872398,1.90393784454194,0.458047088234759,0.646918611570326,0.9998847402937
"Sox17",187.807423864849,0.106848212500598,0.126543084096439,0.844362323421549,0.398466969364435,0.9998847402937
"Mrpl15",593.352384900541,0.138051041970177,0.092496970360631,1.4924925803725,0.135570060892589,0.9998847402937
"Lypla1",223.371854052143,0.00372288362796341,0.103256781621428,0.0360546161666426,0.971238809831208,0.9998847402937
"Gm19860",0.641475148591869,-0.227017716357645,1.54835135117981,-0.146618993282541,0.883432761231472,0.9998847402937
"Tcea1",1068.76683279364,0.024161861596111,0.0499623467966008,0.48360141477091,0.628668770522189,0.9998847402937
"Rgs20",1142.68933994945,-0.0803115824968802,0.0673916573306081,-1.1917140144349,0.233373401007852,0.9998847402937
"Atp6v1h",2775.35233239969,0.0233750396411654,0.0507245087003525,0.460823381834015,0.644925324984956,0.9998847402937
"Oprk1",217.607680305052,0.00384193751732892,0.144650450217705,0.0265601490458319,0.978810558491622,0.9998847402937
"Npbwr1",31.0035068054508,-0.322143631090066,0.167092113757182,-1.92794036682189,0.0538625440031862,0.9998847402937
"Rb1cc1",748.029829525084,0.0485301243982751,0.0768031105168326,0.631877069453313,0.527467208177779,0.9998847402937
"Fam150a",1.76955488005323,0.480700153062611,0.773888860442544,0.621148820759257,0.534501709665928,0.9998847402937
"St18",105.744062717882,0.230216604394169,0.142378493750237,1.61693383832266,0.105892563181466,0.9998847402937
"Pcmtd1",1752.75385874259,0.0265585135559937,0.0645695259107257,0.411316533324306,0.680840447862413,0.9998847402937
"Sntg1",169.331758784348,0.0793088400201067,0.0928606931169876,0.854062546358469,0.393070334733559,0.9998847402937
"Rrs1",582.086793181206,0.038379469246485,0.0600488684640079,0.639137259838441,0.522733642733426,0.9998847402937
"Adhfe1",324.561481703039,-0.037801873788964,0.0765436366280252,-0.493860436402671,0.621404747371285,0.9998847402937
"2610203C22Rik",6.67588240125716,-0.0498949608544599,0.412479956354422,-0.120963358548234,0.903720057669855,0.9998847402937
"3110035E14Rik",1910.52042940051,-0.0849175669353597,0.137289796475255,-0.618527881281149,0.536227424762521,0.9998847402937
"Mybl1",12.1857569289703,-0.372139941953448,0.33828755268844,-1.10006986362926,0.271301683174954,0.9998847402937
"Vcpip1",416.104884607818,-0.123464329376013,0.102293939403848,-1.20695644429711,0.227448918324709,0.9998847402937
"1700034P13Rik",2.55785309943435,-1.32237972167642,0.625139944669575,-2.11533390715479,0.034401498513835,0.9998847402937
"Sgk3",282.094757851968,0.0639087671759995,0.0915183756033467,0.698316231627503,0.484979450471289,0.9998847402937
"Gm6195",0.74399556737005,-0.910771614791614,1.03230354255759,-0.882271131740111,0.377630203735444,0.9998847402937
"6030422M02Rik",3.04000435748547,-0.0247195557191745,0.512156850618579,-0.0482655961534408,0.961504572875576,0.9998847402937
"Snhg6",245.270806613678,0.222056622291603,0.147260122813869,1.50792093642536,0.13157476352917,0.9998847402937
"Snord87",0.466913717561264,-0.683071281115532,1.39083063137246,-0.491124703258429,0.623338250413494,0.9998847402937
"Gm10567",5.18300040566851,-1.02531142911068,0.404364973543301,-2.53560890827476,0.0112252018178466,0.9998847402937
"Tcf24",0.824101646735319,1.18548390332161,1.16509747474104,1.01749761631326,0.308916765650971,0.9998847402937
"Ppp1r42",9.46479167115496,0.545697269712096,0.353394043190763,1.54416091676318,0.122549354376905,0.9998847402937
"Cops5",1491.1386686871,0.0405541829883375,0.0556482728469878,0.728759059600045,0.466149058883034,0.9998847402937
"Cspp1",315.76312519953,0.228559480066897,0.197009652200248,1.16014356410609,0.245990359880903,0.9998847402937
"Arfgef1",1105.25069341755,0.0492742189217942,0.0588268867877355,0.837613914528401,0.402247575466751,0.9998847402937
"Cpa6",8.16113822525004,0.548112996668662,0.368978399693955,1.48548803161185,0.137414591498098,0.9998847402937
"Prex2",436.542880621853,-0.131670386852174,0.0997090397543072,-1.32054613279421,0.18665274411796,0.9998847402937
"A830018L16Rik",733.604175922125,-0.105668068209999,0.0816313284936167,-1.29445483933613,0.195508358813598,0.9998847402937
"4932411L15",0.0412251749527471,0.302342471860559,3.02618800586252,0.0999086875220054,0.920416819218333,NA
"Sulf1",321.165975471326,0.0930980520940096,0.142048110366754,0.655398032776639,0.51221151774444,0.9998847402937
"Slco5a1",116.57218487221,-0.066189562725839,0.163200754403735,-0.40557142623309,0.685057527296039,0.9998847402937
"Prdm14",0.140196211317296,0.302344332207204,2.96411605049411,0.102001516491503,0.918755471377785,NA
"Ncoa2",858.250294934348,-0.0279528000005389,0.0896892020726946,-0.311662935498999,0.75529669902943,0.9998847402937
"Tram1",455.562402239376,0.1165182411618,0.0674958078622168,1.72630337871732,0.0842928478441143,0.9998847402937
"Lactb2",170.184577572835,0.0222438091215498,0.130999400276779,0.169800846985196,0.865166760804691,0.9998847402937
"Xkr9",0,NA,NA,NA,NA,NA
"Gm5523",1.11815999631363,-0.687115062910837,0.978456813899765,-0.702243628078231,0.482527241950965,0.9998847402937
"Eya1",99.4919959637977,0.0470676270843357,0.123206320135919,0.382022829936089,0.702444430778145,0.9998847402937
