,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Spats2l,461.343737,-0.114318518,0.053799217,-2.124910429,0.033594088,1
Kctd18,247.0897062,-0.072378724,0.093434977,-0.774642713,0.438550811,1
Sgol2,14.71949146,-0.16625288,0.245448431,-0.677343423,0.498188086,1
Aox1,99.17102036,-0.137294847,0.118807279,-1.155609719,0.247840831,1
Aox3,22.47035938,-0.002763013,0.219368103,-0.012595328,0.989950648,1
Aox4,9.965393519,-0.085820589,0.306012832,-0.280447682,0.779134059,1
Aox3l1,0.333600728,-1.293544076,2.02866891,-0.637631932,0.523713304,1
Bzw1,1643.545443,0.051908585,0.077159659,0.672742533,0.501111103,1
Clk1,1566.100671,-0.166873056,0.250173414,-0.667029537,0.504753267,1
Ppil3,325.1758738,-0.045536143,0.066772256,-0.681962027,0.495262962,1
Nif3l1,380.5171636,-0.111836767,0.061424872,-1.820708177,0.068651229,1
Orc2,447.4183117,0.043630974,0.064132941,0.68032081,0.496301351,1
Gm15834,2.815048893,0.262591638,0.61708165,0.425537914,0.670444589,1
Fam126b,795.6754641,-0.045554328,0.067579435,-0.674085656,0.500256859,1
Ndufb3,2055.902926,-0.115178591,0.103655034,-1.11117219,0.266494239,1
Gm20257,27.33871287,0.011014025,0.219807942,0.050107492,0.960036729,1
Als2cr12,2.839089436,-0.175871787,0.568714086,-0.309244648,0.757135433,1
Cflar,283.0359728,0.237063638,0.106077762,2.234809955,0.025429828,1
Casp8,57.36200458,0.093797403,0.137835306,0.680503461,0.496185731,1
Trak2,2782.452669,0.042182268,0.094550981,0.446132527,0.655501518,1
Stradb,619.3400297,-0.053184139,0.084509214,-0.629329473,0.52913338,1
Als2cr11,0.3568002,-0.868605306,1.684283803,-0.515711963,0.606055598,1
Als2cr4,501.1614544,0.017413379,0.064792028,0.268758049,0.788115878,1
Mpp4,17.55822616,-0.409255644,0.3091582,-1.323774185,0.185578052,1
Als2,496.4709085,0.051083295,0.09043041,0.564890671,0.57214813,1
Cdk15,8.004272956,0.220680295,0.382345639,0.577174872,0.56382133,1
Fzd7,219.710188,0.108251828,0.12693303,0.85282631,0.393755631,1
Gm973,202.1006233,0.011209108,0.147799096,0.075840168,0.939546259,1
Sumo1,2320.589091,-0.009034783,0.050122867,-0.180252715,0.856954176,1
Nop58,456.9838909,-0.098029018,0.056042079,-1.749203815,0.080255795,1
Snord70,0.070221197,-0.014779954,4.181290922,-0.003534783,0.997179657,1
Snord11,0.020809244,0,4.181290922,0,1,1
Bmpr2,59.26055391,0.23398947,0.301779555,0.775365546,0.438123688,1
Gm20272,731.2713996,-0.041585983,0.069628555,-0.597254718,0.550337332,1
Fam117b,1175.72729,-0.011042841,0.055876748,-0.19762855,0.843335696,1
Ica1l,716.1501419,0.055255147,0.068148119,0.810809562,0.417475042,1
Wdr12,624.4280969,-0.041075511,0.07882002,-0.521130433,0.602275912,1
Carf,37.16386308,0.054905155,0.217321514,0.252644823,0.80054269,1
Gm15464,1.794983159,-1.303329641,0.67668927,-1.92603858,0.054099557,1
Nbeal1,29.56324703,0.061857795,0.26579195,0.232730128,0.815970972,1
Cyp20a1,180.9464177,-0.130144617,0.076255381,-1.706694212,0.087878904,1
Abi2,2853.546785,0.021949346,0.046903562,0.467967571,0.63980778,1
Raph1,567.1110064,0.020430161,0.081652077,0.250209932,0.802425005,1
Gm11575,0.79596818,1.280142408,1.179883977,1.084973127,0.277933558,1
Gm11578,66.55302301,0.209297618,0.157606045,1.32797964,0.184184833,1
Cd28,2.443425292,0.384846584,0.665255288,0.578494589,0.562930249,1
Gm11579,0.042016243,-0.591852926,4.181290922,-0.141547894,0.887437127,1
