"","genes","logFC","logCPM","F","PValue","FDR"
"58","ENSMUSG00000025940",-0.000513162349918402,4.54095669096102,1.99665392319352e-05,0.996458485120274,0.999486001466728
"59","ENSMUSG00000025779",0.207784633218922,-0.395952120904448,0.30163046205039,0.586124534016243,0.878376299093593
"60","ENSMUSG00000042686",-0.240931146964026,3.35254867064473,3.05998275550727,0.0884405535661999,0.561991900495314
"61","ENSMUSG00000025777",-0.113929035532834,5.53848270083376,1.07770796862653,0.30587222493461,0.741512110968025
"62","ENSMUSG00000101589",0.313031639222167,-0.869388953871337,0.24099682772054,0.626353643961009,0.894224690666972
"63","ENSMUSG00000025776",-0.0191015854201163,0.897577808643183,0.00650848187260382,0.936130199580258,0.984252344868056
"64","ENSMUSG00000109887",0.0605592152174766,1.18293079551762,0.100788166463213,0.752650449334855,0.9356898817597
"65","ENSMUSG00000100720",0.147670735584135,1.91994488191833,0.459884366045283,0.501849934376214,0.843421818778977
"66","ENSMUSG00000041859",0.272731248820878,1.739487187262,1.72750824212381,0.196728571949536,0.658186504112383
"67","ENSMUSG00000097934",-0.386304637155859,-0.587258214524995,0.670037003621042,0.418220758529532,0.80374291643976
"68","ENSMUSG00000025931",-0.0064258138301768,5.93677997143776,0.00280453481764393,0.95804717639456,0.989049500717704
"69","ENSMUSG00000041809",-0.164496642722003,0.414336625249236,0.239110643211306,0.627702889835293,0.894224690666972
"70","ENSMUSG00000041779",-0.351632966153733,1.12128853024536,1.55885330212109,0.219587818749472,0.67586219560385
"71","ENSMUSG00000025933",-0.0821266724292693,4.42911858898359,0.244192235389443,0.62408280733691,0.893304030715282
"72","ENSMUSG00000025934",-0.291571052291247,0.590378189763958,0.893765325792516,0.350523368763638,0.771808269588614
"73","ENSMUSG00000028033",0.13054104524669,5.55455491629813,1.33855549409442,0.254620731762731,0.704601855564288
"74","ENSMUSG00000082935",-0.117630231522856,2.06228901680141,0.136477898137149,0.713890118367779,0.923109708699684
"75","ENSMUSG00000041670",0.0879827231837348,5.86907255805683,0.289602211047212,0.593662019526947,0.880980986809986
