"","B2101","B2102","B2103","B2104","B2105","B2111","B2112","B2113","B2115"
"ENSMUSG00000051951",27.1598091911212,36.2305633391624,59.4732479531432,57.1480550542168,31.0837887388518,31.3716268221594,29.3480552451032,23.412612042826,32.3003895472375
"ENSMUSG00000103161",2.62836863139882,5.5739328214096,6.86229784074729,2.00519491418304,1.24335154955407,1.69576361200862,2.84013437855838,2.92657650535325,4.16779219964354
"ENSMUSG00000102331",26.2836863139882,26.9406753034797,109.796765451957,37.0961059123863,162.879052991584,33.067390434168,33.1349010831811,40.9720710749455,102.110908891267
"ENSMUSG00000025902",98.1257622388894,101.259779588941,59.4732479531432,82.2129914815048,89.5213115678933,119.551334646608,74.7902053020373,103.405703189148,111.488441340465
"ENSMUSG00000098104",2.62836863139882,7.43191042854613,5.71858153395608,1.00259745709152,4.97340619821629,0,2.84013437855838,5.8531530107065,6.25168829946531
"ENSMUSG00000103922",2.62836863139882,1.85797760713653,3.43114892037365,2.00519491418304,3.73005464866222,3.39152722401723,2.84013437855838,5.8531530107065,9.37753244919797
"ENSMUSG00000033845",268.969723279813,292.631473124004,281.354211470639,275.714300700169,339.434973028262,270.474296115374,297.26739828911,320.947890087073,307.374674723711
"ENSMUSG00000102275",0,0.928988803568267,1.14371630679122,4.01038982836609,2.48670309910815,3.39152722401723,3.78684583807784,2.92657650535325,2.08389609982177
"ENSMUSG00000025903",134.04680020134,158.857085410174,104.078183918001,149.387021106637,118.118397207637,165.33695217084,160.940948118308,159.01065679086,166.711687985742
"ENSMUSG00000033813",488.876565440181,489.577099480477,527.25321743075,484.254571775205,570.69836124532,547.731646678783,514.064322519067,530.685872970722,502.218960057047
"ENSMUSG00000062588",114.772096904415,112.40764523176,66.3355457938905,78.2026016531387,95.7380693156636,63.5911354503231,64.3763792473232,102.430177687364,83.3558439928708
"ENSMUSG00000103280",14.89408891126,6.50292162497787,19.4431772154507,11.0285720280067,19.8936247928652,6.78305444803447,8.52040313567514,10.7307805196286,13.5453246488415
"ENSMUSG00000002459",714.91626774048,636.357330444263,673.648904700026,618.602631025469,698.763570849389,547.731646678783,568.026875711676,634.09157615987,635.58831044564
"ENSMUSG00000033793",1342.22024776767,1428.78477988799,1523.4301206459,1316.41046116117,1584.02987413189,1371.02488030897,1341.49013813907,1348.17624346606,1604.59999686276
"ENSMUSG00000025905",170.843961040923,121.697533267443,102.934467611209,183.475334647749,129.308561153624,105.985225750539,105.08497200666,133.646993744465,133.369350388593
"ENSMUSG00000033774",18.3985804197918,20.4377536785019,22.8743261358243,22.0571440560135,14.9202185946489,25.4364541801293,15.1473833523114,17.5594590321195,7.2936363493762
"ENSMUSG00000025907",410.901629375349,401.323163141491,373.995232320727,374.971448952229,339.434973028262,440.89853912224,468.622172462132,388.259149710198,380.311038217473
"ENSMUSG00000090031",38.5494065938494,19.5087648749336,22.8743261358243,18.0467542276474,18.6502732433111,29.6758632101508,35.9750354617395,22.4370865410416,21.8809090481286
"ENSMUSG00000103845",21.0269490511906,10.2188768392509,34.3114892037365,23.059741513105,27.3537340901896,33.067390434168,31.2414781641422,22.4370865410416,14.5872726987524
"ENSMUSG00000033740",41.1777752252482,52.0233729998229,46.8923685784398,38.0987033694778,24.8670309910815,82.2445351824179,52.0691302735703,62.4336321142026,59.3910388449205
"ENSMUSG00000103329",0.876122877132941,1.85797760713653,5.71858153395608,2.00519491418304,1.24335154955407,4.23940903002154,5.68026875711676,2.92657650535325,7.2936363493762
"ENSMUSG00000102135",1.75224575426588,5.5739328214096,0,1.00259745709152,4.97340619821629,1.69576361200862,1.89342291903892,11.706306021413,3.12584414973266
"ENSMUSG00000051285",853.343682327484,819.368124747211,906.967031285434,988.561092692241,813.151913408364,865.687323930399,968.485823088407,948.210787734452,890.865582673807
"ENSMUSG00000103509",8.76122877132941,1.85797760713653,9.14973045432972,5.01298728545761,12.4335154955407,5.08729083602585,0.946711459519459,4.87762750892208,6.25168829946531
