,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Atf3,59.11698527,0.395798738,0.172768896,2.290914322,0.021968369,0.780740312
Wdr63,24.65346247,-0.690393052,0.301384772,-2.290736347,0.021978667,0.780740312
B3gat1,5069.383616,0.074767945,0.032670339,2.288557336,0.022105085,0.783752238
Bard1,25.68989917,-0.414612404,0.181276875,-2.287177578,0.02218546,0.78512342
Gpd2,1060.515906,-0.208900332,0.091365937,-2.286413735,0.022230066,0.785225974
Zfp667,376.6222613,-0.144184824,0.063082908,-2.285640082,0.022275323,0.785351143
Gdap1,1352.145308,-0.182013334,0.079869579,-2.278881844,0.02267409,0.788892969
Gli2,132.4139909,0.200059992,0.08773859,2.280182451,0.02259687,0.788892969
C2cd4c,528.6251221,0.200794759,0.088162288,2.277558394,0.022752902,0.788892969
Epha3,15.34080128,-0.63815066,0.280089428,-2.27838182,0.022703839,0.788892969
Psmg1,328.1200546,0.194870798,0.085379031,2.282419869,0.022464563,0.788892969
Dcc,360.2131619,-0.274166197,0.120254553,-2.279882051,0.022614685,0.788892969
Slc22a6,77.77985893,0.462944534,0.203237279,2.277852454,0.02273537,0.788892969
4930539J05Rik,49.66188909,-0.327990897,0.143865946,-2.279836939,0.022617361,0.788892969
Leng1,304.0144509,0.192018541,0.084227414,2.279762994,0.022621749,0.788892969
Scg2,8149.121648,0.102480499,0.04523295,2.265616084,0.023474899,0.789128269
Gm10257,34.95559817,-0.427865486,0.188692065,-2.26753301,0.023357685,0.789128269
4930452B06Rik,211.7488934,-0.226175547,0.099520728,-2.272647636,0.023047423,0.789128269
Ankrd28,435.5666601,-0.275709298,0.12172725,-2.264975989,0.023514153,0.789128269
Wnt10b,14.41882996,0.661310564,0.291562611,2.268159696,0.023319475,0.789128269
Gart,800.9560228,0.176484386,0.077639612,2.273122971,0.023018771,0.789128269
Ss18,503.682555,-0.171251728,0.075245031,-2.275920752,0.022850753,0.789128269
BB557941,1.911052106,1.67643441,0.739137084,2.268096741,0.023323311,0.789128269
Pak7,251.5062356,-0.647778095,0.285919396,-2.265596896,0.023476075,0.789128269
Ghsr,7.376331841,0.795288265,0.351069384,2.26533073,0.023492392,0.789128269
Sh3d19,316.5218218,-0.30244559,0.13331861,-2.268592437,0.023293122,0.789128269
Rheb,2641.331591,0.137706419,0.060537534,2.274727911,0.022922257,0.789128269
2810453I06Rik,1055.650965,0.100395993,0.044254105,2.268625574,0.023291105,0.789128269
