"","PN320CS1","PN320CS2","PN320CS3","PN320CS4","PN320CS5","PN320DS1","PN320DS2","PN320DS3","PN320DS4","PN320DS5","PN320CO1","PN320CO2","PN320CO3","PN320CO4","PN320CO5","PN320DO1","PN320DO2","PN320DO3","PN320DO4"
"Gnrhr",0,0,0,0,0,0,0,2.00193404944903,2.10710333132433,0,0,0,0,0,0,1.03411528943355,1.9231316080178,0,0.990284324270726
"Gnrh1",62.4063318766259,49.5529822680238,89.6132620188264,71.1545207177061,83.8570268243185,51.1019123910915,43.1372076068458,37.0357799148071,43.1956182921487,49.3169082050883,66.1620315098926,80.749597774567,53.4032998994752,86.4674598226986,68.3039097199474,49.6375338928104,65.3864746726053,33.634419836654,64.3684810775972
"Th",252.798530822264,255.537928166476,252.098846998017,330.297528269846,223.618738198183,255.509561955457,225.272084169083,304.293975516253,253.905951424581,282.874341402771,256.111089715713,293.091132663243,242.833873127802,246.432260494691,182.813405426918,187.174867387473,205.775082057905,281.688266131977,284.211601065698
"Kiss1r",252.798530822264,299.261147814732,256.037891482361,309.214707316451,311.082518864407,274.928288664072,336.470219333397,291.281404194834,285.512501394446,232.6269254957,267.849514661017,237.264250251197,210.590371301704,271.291655193717,275.224577400965,267.83585996329,258.661201278395,162.916721083793,261.435061607472
"Kiss1",2.11546887717376,2.91488130988375,0,1.7569017461162,6.3118192233358,7.15426773475281,8.62744152136915,13.0125713214187,0,1.8610154039656,7.46990678337497,3.98763445800331,9.06848488859012,10.8084324778373,22.0983237329242,3.10234586830065,0,6.30645371937262,5.94170594562436
