,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Thoc7,1093.447982,-0.195696077,0.084042306,-2.328542445,0.019883318,0.922981072
Plxnb2,1586.038272,0.240457404,0.103480288,2.323702505,0.020141444,0.922981072
Commd3,1009.554995,-0.191358008,0.081953829,-2.334948974,0.019546086,0.922981072
Tcf15,29.4061595,-0.667380547,0.287184693,-2.323872276,0.020132341,0.922981072
Tbck,40.66461487,0.669105647,0.288522177,2.319078741,0.020390767,0.922981072
Spen,2291.040274,0.327988759,0.141388338,2.319772364,0.020353195,0.922981072
Clcn6,1456.018132,0.493286951,0.211900962,2.32791275,0.019916737,0.922981072
Ccng2,811.1376664,-0.249160037,0.107224189,-2.32372974,0.020139983,0.922981072
Mlec,3502.459228,0.261540714,0.112455919,2.325717647,0.020033618,0.922981072
Mir5105,5182.917116,2.134508495,0.914343704,2.334470599,0.019571094,0.922981072
Exoc6b,1482.273561,0.172766598,0.074115169,2.331055849,0.019750415,0.922981072
Gm7457,2.171301284,-2.624663865,1.127161117,-2.328561397,0.019882313,0.922981072
Cnga4,26.93290664,-0.694972489,0.299613406,-2.319564065,0.020364472,0.922981072
Pstk,291.9044075,-0.308262709,0.132643025,-2.324002396,0.020125366,0.922981072
Itga9,361.4758157,0.350043748,0.150850049,2.320474877,0.020315202,0.922981072
Il13ra2,3.519425563,2.136721162,0.921531645,2.318662818,0.020413326,0.922981072
6030422M02Rik,1.712090717,-2.84262351,1.25538596,-2.264342282,0.023553071,0.923427724
Tmem14a,569.3032815,-0.350830892,0.152189835,-2.305218943,0.021154314,0.923427724
Myoc,24.43781159,0.889633699,0.387555209,2.295501848,0.021704381,0.923427724
Aim1,22.42019823,0.622691689,0.273018778,2.280765055,0.022562353,0.923427724
Cirbp,2496.727933,-0.303737509,0.13224537,-2.296772354,0.021631759,0.923427724
Smcr8,519.4844301,0.226371666,0.098580286,2.296317809,0.021657717,0.923427724
Sumo2,3545.853166,-0.151072858,0.06663746,-2.267086081,0.023384968,0.923427724
