"","A2011","A2012","A2013","A2014","A2015","A2001","A2003","A2002","A2004","A2005"
"Ppp1r42",10.386136270187,8.44200114075732,9.77787047381465,12.5555145099738,9.29687834960565,12.080373639801,5.68627716296987,3.95934138708495,7.76979025841135,5.13145763381561
"Cops5",1507.87814758988,1542.7757084734,1448.01372744037,1542.23569897512,1404.67380154951,1447.44840520525,1252.87640157436,1177.24417242659,1305.32476341311,1428.59780525427
"Cspp1",342.742496916171,298.63579035429,247.11345379277,324.350791507657,283.9773750425,298.714693638716,328.856362591757,196.647288891886,302.15851004933,283.256461386622
"Arfgef1",1052.77654011441,934.951626338873,939.564462802008,1102.79269112604,928.84266420151,969.724538540389,1074.70638380131,1062.42327220113,914.245320406402,852.848258740155
"Cpa6",7.5535536510451,7.38675099816266,7.11117852641066,4.18517150332461,7.60653683149553,10.9821578543645,5.68627716296987,10.5582436988932,10.3597203445485,7.18404068734185
"Prex2",398.449955092629,404.160804613757,303.113984688254,390.26724268502,369.339621707061,414.027351109543,355.392322685617,430.248430729897,339.280841283962,322.25553940362
"A830018L16Rik",668.489498117491,714.404346536588,654.22842442978,983.515303281284,779.247439848765,789.617149728811,750.588585512023,613.697914998167,536.115527830383,639.379621173425
"4932411L15",0,0,0,0,0,0,0,0,0,0
"Sulf1",236.048551595159,270.144036504234,299.558395425049,380.85060680254,297.500107187381,302.009340995025,294.738699613938,259.996751085245,231.367087694916,284.282752913385
"Slco5a1",79.3123133359735,87.5857618353572,88.0008342643319,116.138509217258,88.7429297007812,141.669836321303,72.9738902581133,92.3846323653154,131.223124364281,71.8404068734185
"Prdm14",0,0,0,0,0,0,0,0,0,0
"Ncoa2",715.699208436523,746.061850814428,629.339299587343,787.858535500858,771.640903017269,804.992170724921,785.653961350337,704.76276690112,661.295481993677,627.064122852268
"Tram1",393.728984060726,435.818308891597,400.892689426401,375.619142423384,330.461766790528,349.232619768793,392.353124244921,432.887991654621,452.374455045283,416.674359865828
"Lactb2",139.740742544334,113.967015400224,141.334673212412,131.832902354725,128.465955376369,129.589462681502,151.634057679197,180.809923343546,144.172774794966,119.049817104522
"Xkr9",0,0,0,0,0,0,0,0,0,0
"Gm5523",0,1.05525014259467,2.666691947404,0,0.845170759055059,2.19643157087291,1.89542572098996,0,2.58993008613712,2.05258305352624
"Eya1",104.805556908251,103.414513974277,83.5563476853252,125.555145099738,119.169077026763,110.919794329082,117.516394701377,91.0648519029537,90.6475530147991,82.1033221410498
"Msc",40.6003508743674,54.8730074149226,32.8892006846493,47.0831794124019,42.258537952753,53.8125734863863,29.3790986753443,35.6340724837645,35.3957111772073,54.3934509184455
"Trpa1",1.88838841276127,1.05525014259467,0.888897315801332,0,2.53551227716518,0,0.947712860494978,3.95934138708495,0,0
"Kcnb2",26.4374377786578,32.7127544204346,42.6670711584639,40.805422157415,23.6647812535417,36.241120919403,41.699365861779,30.3549506343179,25.8993008613712,40.0253695437618
"Terf1",166.178180322992,139.293018822496,136.001289317604,175.777203139634,148.75005359369,166.928799386341,159.215760563156,149.135192246866,145.899394852391,166.259227335626
"Gm106",16.0513015084708,22.160252994488,21.333535579232,19.8795646407919,11.8323906267708,16.4732367815468,14.2156929074247,9.23846323653154,18.9928206316722,13.3417898479206
"Gm7634",0,0,0,0,0,0,0,0,0,0
"4930444P10Rik",10.386136270187,13.7182518537306,11.5556651054173,18.8332717649608,15.2130736629911,7.68751049805518,3.79085144197991,6.59890231180824,18.9928206316722,13.3417898479206
"Rpl7",5858.72505059185,6140.50057975836,5789.38821781408,5296.3345374573,5603.48213253504,5413.10560641628,5163.13966397664,8271.06415762045,5460.43593160576,5630.23531582249
"Rdh10",249.267270484488,212.105278661528,208.890869213313,264.712097585282,207.06683596849,231.723530727092,222.71252221632,178.170362418823,198.561306603846,199.100556192046
"Stau2",1396.46323123696,1437.25069421393,1538.68125365211,1431.32865413702,1437.63546115266,1604.49326252266,1567.51707125869,2731.94555708861,1416.691757117,1332.12640173853
"Ube2w",951.747760031682,846.310614360922,882.675034590723,956.311688509674,870.525881826711,941.170928119042,937.288019029533,778.670472793373,796.83515650152,843.611634999286
"Tceb1",1239.72699297778,1367.60418480269,1204.45586291081,1328.79195230556,1329.45360399361,1270.63566374998,1315.42545036703,1142.92988040519,1128.34620752707,1224.3657914284
"D030040B21Rik",0,0,0,0,1.69034151811012,3.29464735630936,0.947712860494978,0,0.863310028712372,0
"Tmem70",677.931440181297,643.702586982746,664.895192219396,713.571741316846,633.878069291295,622.68835034247,598.006814972331,502.836356159788,581.007649323427,631.16928895932
"Ly96",8.49774785742573,17.9392524241093,20.4446382634306,8.37034300664922,14.367902903936,23.0625314941655,18.0065443494046,6.59890231180824,24.1726808039464,8.21033221410498
